A1,A2,A3,EXP1_T2,EXP2_T2,EXP3_T2,EXP4_T2,EXP5_T2,EXP6_T2,EXP7_T2,EXP8_T2,PS1_T2,PS2_T2,PS3_T2,PS4_T2,PS5_T2,PSI1_T2,PSI2_T2,PSI3_T2,PSI4_T2,PSI5_T2,EA1_T2,EA2_T2,EA3_T2,EA4_T2,IMC1_T2,SP1_T2,SP2_T2,SP3_T2,SP4_T2,MV1_T2,MV2_T2,UBI1_T2,UBI2_T2,UBI3_T2,UBI4_T2,IPB1_T2,IPB2_T2,IPB3_T2,IPB4_T2,IPB5_T2,IPB6_T2,IMC2_T2,MA1_T2,MA2_T2,MA3_T2,TA1_T2,TA2_T2,TA3_T2,PEER1,PEER2,PEER3,MOOD1_T2,MOOD2_T2,L1
BE1306,3,1,4,1.3,1,1,2,3,2,4,4,5,4,3,2,4,3,3,3,4,2,3,1,3,3,3,3,2,5,5,4,2,2,2,1,4,3,3,4,3,3,4,4,4,4,4,5,4,3,1,2,3,3,0
XY2009,4,1,12,7.7,4,2,5,4,2,3,5,6,3,2,4,5,5,4,5,3,6,5,5,5,3,5,6,5,4,5,4,4,3,4,2,1,5,4,4,4,6,6,4,4,4,4,4,5,2,2,4,5,4,0
GR0702,1,1,,1.9,2,0,2,4,6,1,4,4,4,4,5,3,3,1,1,3,4,3,3,5,3,4,5,4,6,7,7,3,3,3,3,6,5,5,7,5,3,4,3,5,4,4,5,3,3,2,4,5,5,1
DS1611,1,0,2,1.1,1,0,2,1,2,1,5,5,3,5,4,5,4,4,3,4,4,5,,1,3,3,2,3,3,7,5,4,2,3,3,5,3,5,4,4,5,5,4,5,5,3,5,2,4,3,5,2,4,0
MK0108,3,1,26,1.6,2,4,2,3,1,2,4,3,4,4,4,4,2,4,6,4,4,2,3,4,3,2,2,1,4,6,6,1,2,1,2,3,2,4,5,3,4,2,4,2,6,5,4,4,1,2,2,5,4,0
PL2412,1,1,16,4.5,3,3,4,5,3,3,,5,4,5,6,3,3,3,4,4,4,3,5,2,3,3,3,5,5,7,6,4,6,2,3,12,3,4,4,3,4,3,4,2,3,4,4,6,2,2,3,3,2,1
VN1105,1,0,5,2.2,3,3,3,2,2,1,5,6,5,5,,4,4,4,4,4,3,5,1,1,3,2,3,4,5,3,2,5,5,4,3,2,6,4,5,5,5,5,2,5,4,4,3,4,4,3,4,4,4,0
QA1910,2,1,18,2.1,2,5,2,5,1,3,2,3,1,2,3,4,3,4,2,3,3,2,2,2,3,3,3,4,5,5,5,4,1,3,3,2,2,1,3,1,1,1,3,5,4,6,2,6,6,3,5,3,2,0
HT0303,1,1,1,7.1,2,0,2,2,6,3,3,3,5,4,4,2,4,6,4,4,4,6,4,1,3,4,6,4,6,4,4,4,3,4,2,2,5,6,6,3,5,5,4,5,3,4,5,3,3,2,2,5,4,0
RE2701,1,0,5,1.8,2,4,1,2,5,1,3,4,3,4,4,4,4,2,2,3,4,5,3,3,3,4,4,4,2,3,3,3,1,3,3,0,4,4,4,3,4,5,4,3,3,5,3,5,2,1,3,3,3,1
BI1507,1,1,27,3.7,3,3,2,3,2,3,3,4,5,3,3,4,4,3,3,3,3,4,3,2,3,3,4,3,3,3,4,3,4,3,2,5,2,2,2,2,3,3,4,6,4,4,3,4,3,1,3,3,4,0
KO0809,1,0,6,3.8,3,5,3,4,5,3,5,3,4,4,5,4,4,3,4,5,4,4,3,4,3,6,4,7,5,5,5,4,5,3,3,13,6,5,5,6,6,5,3,5,5,2,6,3,4,4,4,3,3,1
LY2106,2,1,12,3.9,4,3,3,3,1,2,5,5,4,5,5,2,3,1,3,4,5,4,4,3,3,3,3,3,4,4,5,4,5,4,4,9,6,6,6,4,6,5,5,5,4,5,1,5,4,3,5,3,2,0
PE0404,3,0,5,3,1,1,1,5,2,3,4,4,4,3,3,5,6,7,5,3,4,3,2,3,3,5,5,4,6,4,3,2,2,3,3,0,1,1,2,1,3,1,3,5,4,3,4,4,2,1,1,5,5,1
SU1202,1,1,2,1.1,1,1,1,3,6,3,6,5,6,4,4,2,3,5,,3,2,2,1,1,3,3,3,2,2,4,4,3,3,1,4,5,2,2,4,2,4,3,4,5,3,3,3,3,2,1,3,2,2,1
NA2611,1,1,27,22.2,3,2,4,2,5,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,5,6,5,5,5,5,5,6,6,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,1
TH0208,2,0,6,0.7,1,1,1,1,2,1,4,3,2,2,1,3,4,4,4,4,4,4,4,4,3,3,3,1,4,6,6,3,2,2,2,5,2,2,3,3,2,4,5,3,4,3,5,2,1,2,3,3,3,0
MI1705,3,1,9,1.2,1,1,1,5,2,3,4,4,4,5,3,2,2,5,3,1,4,3,2,4,3,3,3,3,4,5,4,2,2,2,2,4,2,1,2,4,2,2,1,7,1,3,5,2,3,3,5,4,4,1
VO3003,2,1,4,3.4,2,3,2,5,3,3,4,4,3,3,3,5,4,3,5,3,5,5,5,3,3,3,4,3,4,6,5,5,4,5,4,4,3,2,4,4,3,3,2,7,2,3,6,2,2,3,5,4,3,0
XE0910,2,1,4,8.1,2,5,3,4,2,2,4,5,4,5,3,7,6,6,6,7,4,4,4,3,3,2,4,3,3,5,5,4,4,4,3,1,5,4,6,6,5,4,4,5,3,3,5,1,2,3,3,5,4,1
DU1407,3,1,0,4.1,1,0,1,5,1,2,2,3,3,2,2,2,3,2,2,2,3,3,3,1,3,4,6,2,5,4,4,1,2,3,3,1,2,4,4,4,2,2,2,7,2,2,5,3,4,4,3,4,4,0
BA2312,1,1,7,3.2,3,6,3,1,2,1,5,5,5,4,4,6,7,6,6,6,4,4,4,4,3,5,5,5,5,5,4,4,5,4,4,2,6,5,5,5,6,5,4,3,4,4,4,2,5,6,5,3,4,1
GO0601,1,1,2,2.8,1,3,1,3,5,3,5,4,5,3,4,1,3,1,4,1,,5,3,4,3,2,2,3,4,3,3,1,1,1,2,3,4,2,3,3,4,3,3,4,5,4,3,4,2,3,4,4,3,1
LE1804,1,1,0,0.9,1,0,2,5,2,4,3,5,4,2,4,6,4,3,5,6,6,5,4,4,3,4,3,3,3,4,4,2,5,3,3,16,6,6,7,7,5,7,3,4,3,3,4,3,1,2,3,3,3,1
RI2511,1,0,7,1.9,2,1,1,2,1,1,2,2,2,2,2,4,5,5,4,3,2,4,3,2,3,2,2,3,3,6,6,2,1,2,1,1,2,1,3,3,3,1,3,3,5,5,2,5,2,5,2,3,4,0
TA0109,4,1,14,3.1,2,0,1,4,2,1,3,3,3,1,4,5,5,,4,5,,3,5,3,2,3,3,1,2,4,4,4,4,3,4,7,3,4,2,3,6,3,5,2,4,4,5,5,5,3,3,3,3,1
VY1302,4,1,0,3.8,3,3,3,2,5,1,4,,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,5,5,4,4,4,4,8,4,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,3,1
NH0706,4,1,4,3.4,4,10,4,3,2,4,6,7,7,6,6,4,4,4,5,7,5,6,4,4,3,3,3,5,6,5,4,5,5,3,5,8,6,6,6,6,6,6,2,3,3,4,5,3,4,5,3,3,2,1
PI2010,3,1,16,13.4,2,6,4,2,2,4,7,6,6,7,6,7,6,7,6,6,5,3,5,3,3,7,4,4,5,5,5,6,5,6,5,6,6,6,3,6,6,5,3,6,2,5,4,3,1,2,2,3,3,0
LU0403,2,1,105,10.9,5,5,4,3,3,3,4,2,4,3,5,4,5,4,5,5,5,5,4,4,3,3,2,2,3,4,5,4,4,2,4,5,6,4,3,4,4,5,3,2,2,4,4,4,3,2,4,4,3,0
DT1406,2,1,2.5,5,4,2,3,4,3,2,5,6,7,7,6,6,7,7,7,6,5,7,7,6,7,6,5,6,7,6,7,7,7,7,6,2,5,5,7,6,7,6,6,7,6,7,5,7,6,7,6,4,5,1
MA2805,1,1,12,1.7,4,7,4,4,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,3,3,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,2,0
TI1112,3,1,11,4.8,4,2,5,3,1,2,5,5,3,2,4,3,5,6,5,4,4,4,4,4,3,6,4,3,6,4,3,4,3,4,3,4,4,4,5,5,3,5,4,4,3,3,6,2,2,4,3,3,2,1
CO1908,1,0,9,4.4,1,2,2,2,2,3,6,5,6,5,5,4,6,6,5,6,2,3,4,4,3,6,5,6,6,5,6,4,6,4,5,15,6,5,5,4,6,5,3,4,4,4,5,2,4,5,5,3,3,0
DU0201,3,1,7,6.3,1,1,2,4,2,1,3,6,5,3,5,3,4,3,3,4,5,2,4,4,3,4,5,4,5,6,7,3,3,3,2,2,2,3,3,5,4,3,5,5,5,2,6,2,2,1,2,3,3,0
SO1504,1,1,1,5,4,3,3,3,3,1,3,4,3,2,3,3,3,4,4,4,3,2,2,5,3,6,6,4,6,4,5,3,3,4,4,6,3,3,4,6,3,5,3,6,2,3,3,3,3,1,2,5,4,0
KH2211,4,1,19,4.6,3,3,3,5,3,4,4,5,5,4,4,3,,5,7,5,6,4,3,5,3,4,5,4,4,7,7,5,3,6,3,3,3,3,2,4,5,5,5,3,4,4,4,4,5,4,3,5,4,0
LA0907,2,1,8,3.6,3,2,3,3,5,2,5,5,3,4,3,4,4,2,3,4,4,5,4,4,3,3,5,4,5,6,6,5,2,3,4,2,3,2,3,3,3,3,2,6,3,3,5,2,4,6,5,4,4,1
ME3101,2,1,5,13.3,4,9,4,5,2,1,5,4,4,6,5,5,5,4,7,4,5,5,5,4,3,5,4,4,5,7,7,5,5,5,3,4,5,5,4,3,5,5,1,7,2,2,3,4,2,4,3,5,4,1
PH0609,1,1,9,5.7,1,4,3,3,1,3,5,5,5,5,5,6,6,5,6,5,2,3,3,2,3,3,4,3,3,6,7,5,4,3,3,2,5,4,4,6,5,6,3,2,4,4,2,5,6,5,3,2,4,1
VA2403,2,1,7,1.4,3,14,3,3,1,1,4,5,5,6,6,4,4,3,5,4,4,4,3,2,3,2,4,3,4,2,4,5,6,4,5,4,3,4,4,2,4,3,4,6,3,2,5,3,4,3,5,3,3,0
RY1710,4,1,3,3,2,0,2,1,2,4,4,4,2,2,3,,5,5,5,3,7,6,5,4,3,2,4,2,2,4,5,2,3,4,3,1,4,4,4,4,4,3,2,3,3,2,5,2,2,3,4,4,3,1
NO0312,2,0,16,13.5,5,2,5,4,2,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,3,3,5,5,5,5,0,3,4,5,5,5,4,5,5,5,5,5,5,5,4,4,3,2,1
TE1206,1,1,50,19.6,5,24,5,4,3,2,4,5,4,2,3,5,6,4,4,3,5,3,5,6,3,6,6,7,5,4,3,4,3,3,7,9,6,6,5,4,6,6,3,5,3,5,6,4,5,3,4,4,5,0
GI2105,1,1,8,1.3,2,1,2,3,6,1,,1,3,2,2,5,4,5,4,3,3,4,3,2,3,3,3,2,2,5,5,2,4,2,3,0,1,1,1,2,1,1,3,6,3,1,5,4,2,3,2,2,2,1
BO0804,1,0,18,3.2,3,3,3,2,1,1,6,5,6,7,5,4,4,5,4,2,4,5,5,5,3,4,4,4,3,4,5,4,4,3,6,2,6,6,6,4,6,5,5,4,5,4,5,2,6,4,5,4,3,1
RA2502,1,1,9,1.5,1,0,1,2,3,4,3,5,5,4,3,2,2,3,2,2,4,5,5,4,3,5,5,4,4,5,4,2,3,3,4,5,3,5,3,3,4,4,3,7,2,4,2,4,4,4,4,3,3,1
SI1411,1,1,16,10.2,4,8,5,3,5,3,5,6,7,6,4,4,3,5,4,5,4,5,6,6,3,6,6,4,5,2,2,5,4,4,3,6,3,2,4,4,5,5,1,6,2,4,5,4,3,5,4,2,2,0
MO0107,1,1,1,10,5,10,4,1,5,4,6,6,5,6,5,3,5,5,5,3,6,4,6,5,3,6,6,4,5,2,2,3,4,4,3,4,6,6,6,6,7,6,3,4,3,2,5,4,5,4,4,5,5,0
TU2910,2,1,9,5.9,4,6,5,3,1,1,7,4,7,5,5,6,5,4,5,4,4,3,4,5,3,6,4,5,5,7,7,6,4,4,5,1,6,4,5,5,5,5,5,3,3,4,3,3,2,4,5,4,4,1
VI0503,2,0,18,2.6,2,5,2,2,3,3,3,3,2,1,2,3,2,2,2,3,3,2,2,3,3,6,4,4,6,4,3,3,2,3,2,1,1,1,2,3,2,2,5,5,5,7,2,7,3,2,3,2,3,1
XA1808,1,1,29,6.9,5,23,3,2,3,3,5,4,3,4,5,3,2,1,2,3,5,6,6,5,3,6,7,5,5,5,4,4,5,1,4,2,4,3,4,3,5,4,5,4,4,3,5,3,6,5,5,4,3,1
DO0712,3,1,4,3.9,5,15,4,4,2,1,4,5,4,3,5,4,4,4,4,5,4,4,5,2,3,7,6,5,6,3,3,5,4,5,4,0,4,4,5,4,4,5,2,4,3,4,4,4,5,3,3,3,3,1
SY2004,1,1,1,7.1,4,5,3,2,1,1,2,4,4,3,3,4,3,5,5,5,3,4,,3,3,4,6,4,6,2,1,6,4,5,5,9,6,6,5,4,4,4,5,3,5,2,4,3,2,2,1,3,4,1
NE1101,1,1,19,2.4,5,0,3,4,5,3,6,4,5,5,3,5,3,3,6,4,7,6,6,4,3,3,2,2,3,3,4,5,4,5,2,7,6,6,3,4,5,5,5,3,5,2,5,3,5,4,5,3,3,0
LO0209,4,1,2,0.5,1,2,2,3,1,3,5,4,4,4,6,3,4,4,4,5,2,4,1,1,3,2,3,3,3,3,3,5,3,4,2,1,1,2,2,2,2,2,6,3,5,6,5,5,3,2,4,3,4,0
PA2305,1,1,9,10.3,2,12,3,4,3,3,4,5,3,2,3,4,4,2,5,3,4,4,4,5,3,5,4,4,5,2,2,3,3,4,3,2,4,3,4,5,4,4,5,4,5,3,4,3,2,4,4,3,3,0
RU1602,2,1,10,4.6,1,2,2,4,2,1,4,4,5,6,4,4,3,4,5,4,3,2,2,3,3,4,6,4,6,7,7,4,5,4,3,0,2,3,3,1,3,3,4,5,4,3,4,5,3,1,2,4,3,1
TA0911,1,1,5,8.7,5,0,5,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,6,7,5,5,5,5,7,4,4,5,5,5,5,5,5,5,5,5,5,4,4,3,2,3,0
MI2708,1,1,2,1.7,1,0,1,2,2,2,4,6,4,4,5,3,4,3,2,4,5,5,5,3,3,5,5,6,5,5,6,5,3,3,3,1,3,4,4,5,4,5,2,5,2,4,3,5,4,3,3,5,4,0
HA0406,1,1,5,2.8,2,1,3,2,1,1,5,5,6,,6,3,3,3,4,3,4,2,2,2,3,5,3,4,3,2,3,3,2,4,1,1,1,1,2,4,2,2,5,4,5,5,6,3,2,3,4,5,5,1
VO1512,2,0,0,3.7,3,7,3,5,2,1,6,7,5,3,5,6,7,6,6,4,4,3,2,4,3,4,6,5,5,4,2,3,3,3,3,5,4,5,4,4,6,5,3,3,4,2,2,4,6,3,2,4,4,1
KE2201,1,1,1,2.5,3,0,2,2,2,2,5,3,5,3,5,3,5,6,6,6,4,2,5,5,3,,4,5,4,4,4,4,3,2,4,3,4,4,5,3,4,5,5,5,4,3,4,3,4,3,5,4,3,0
LI0104,1,1,5,2.4,3,2,2,4,5,2,4,3,4,3,4,3,6,5,5,4,5,4,5,4,3,5,5,3,6,6,7,2,4,2,4,1,3,2,2,5,4,3,4,6,4,3,4,4,5,6,4,5,4,0
QU0810,1,1,23,4.6,4,0,4,4,3,3,7,5,5,4,5,3,5,5,4,4,5,5,4,6,2,5,5,5,3,2,3,4,4,5,6,0,5,6,5,6,3,5,4,3,6,5,3,3,4,4,2,4,3,0
NA1903,2,1,16,8.3,2,6,3,2,6,3,6,6,7,4,5,3,1,,1,2,4,4,2,2,3,3,4,3,2,5,4,3,3,4,4,2,3,4,4,5,5,4,4,5,4,2,5,3,4,3,3,2,2,1
TE3005,1,1,19,3.3,3,1,2,4,4,1,5,5,4,3,5,3,4,3,3,3,2,2,1,3,3,,4,2,3,6,7,4,4,4,5,0,4,4,1,4,4,3,3,5,3,4,3,4,3,3,2,3,4,0
XO1207,1,1,3,1.9,2,2,2,4,3,1,4,4,3,5,2,3,6,3,4,3,4,3,2,4,3,4,4,3,4,4,3,3,1,5,2,1,1,1,2,3,3,3,3,3,2,4,2,4,3,2,3,3,3,0
BA2609,2,1,18,4.5,5,9,4,2,1,3,5,5,4,,4,4,4,3,3,4,6,7,6,5,3,4,6,5,6,5,4,4,5,6,4,0,3,1,2,3,3,2,3,3,3,2,7,3,4,4,4,4,4,0
DI0302,1,1,11,7.8,3,1,3,4,1,2,3,3,4,4,4,4,4,5,5,5,6,5,4,3,3,3,4,3,4,5,6,5,4,3,3,0,4,4,2,4,3,3,1,6,2,3,4,5,4,2,2,5,4,0
GU1412,2,1,19,4.6,5,6,4,4,5,1,6,6,4,5,6,5,6,7,6,5,5,5,5,4,3,3,2,3,4,4,4,4,4,2,3,3,4,6,3,4,5,5,3,4,3,3,5,3,3,4,2,4,3,0
SA2111,4,1,1,15,4,6,3,3,4,2,6,4,6,4,4,3,6,3,3,3,6,5,3,5,3,4,4,3,4,5,7,3,4,3,4,4,4,5,5,3,5,4,4,2,4,4,5,4,3,3,2,3,3,1
NO0708,2,1,1,6,5,15,3,3,3,4,5,6,5,5,6,3,4,3,3,3,3,3,3,,3,3,5,5,3,5,5,4,5,3,4,7,6,5,5,5,6,5,2,6,2,3,6,4,2,2,3,3,3,1
TI1801,2,1,36,10.8,2,7,4,1,6,2,5,6,4,3,5,4,3,2,4,3,4,3,4,2,3,4,4,4,3,6,5,4,4,4,4,1,3,1,4,4,3,2,5,6,2,4,5,5,5,4,4,4,3,1
CO0405,4,1,11,6.7,4,5,3,1,1,2,6,5,6,6,6,3,3,3,4,4,5,5,4,4,3,4,2,3,4,5,5,2,2,1,4,0,4,3,5,4,5,3,3,7,3,2,6,3,4,4,2,4,4,0
RA2510,3,1,20,3,2,3,3,4,3,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,6,5,5,5,5,5,2,3,1,5,5,5,2,5,5,5,5,5,5,5,3,3,5,4,0
LE0904,2,1,5,3.8,3,4,2,3,2,3,5,7,5,4,7,5,4,5,5,4,6,4,5,4,3,4,3,4,4,4,3,3,4,3,4,2,2,4,3,3,4,3,5,5,4,3,5,3,3,4,3,4,4,0
MI1312,3,1,5,2.2,2,2,2,5,6,3,5,4,6,2,4,2,3,1,4,4,3,4,4,3,3,3,5,5,4,4,5,4,3,3,3,2,1,2,3,2,3,2,4,4,4,5,5,6,6,4,5,3,3,0
VA2007,2,1,21,9.6,4,7,5,4,4,3,7,6,6,5,,4,3,,5,5,4,5,2,3,3,4,5,6,6,6,6,3,3,3,4,4,6,5,7,4,6,7,2,6,2,3,6,3,4,5,4,2,2,1
SY0102,2,1,3,3.5,2,2,2,3,5,1,5,4,4,3,4,5,5,4,3,4,4,5,4,3,3,3,4,4,3,5,6,4,3,3,3,4,2,2,6,2,3,3,2,4,5,4,3,5,3,4,3,3,4,0
KU1609,3,1,4,7.8,5,5,4,3,2,1,6,5,7,7,6,3,5,4,6,4,4,5,3,4,3,3,3,4,3,5,4,6,5,6,3,9,3,6,5,5,6,4,6,1,6,2,5,4,3,5,2,2,2,1
RE2811,2,1,93,4.3,5,6,4,3,3,1,,2,4,1,2,2,6,3,5,4,6,7,6,6,3,2,3,3,3,4,5,3,5,2,2,3,4,2,4,2,5,3,4,6,4,1,7,1,1,3,2,2,3,1
TO0506,2,0,11,12.4,5,12,5,3,1,1,4,6,6,4,5,4,4,2,4,2,5,5,5,3,1,4,3,2,3,3,3,5,3,3,3,0,4,6,4,4,5,4,5,1,4,6,2,5,2,3,5,2,3,1
MA2203,1,1,6,7.4,5,8,5,4,2,1,6,6,5,5,6,3,4,4,6,5,5,5,4,4,3,2,3,3,3,3,4,3,4,4,5,6,5,4,4,4,5,5,4,4,6,2,5,4,3,4,3,3,3,0
PI1108,1,1,27,3.3,3,2,4,1,5,1,3,4,3,6,4,5,5,5,4,6,6,5,2,5,3,4,4,3,6,4,4,4,5,4,5,0,2,3,2,2,4,4,4,4,1,3,6,3,2,3,3,3,3,0
DU0212,4,1,2,3.5,3,9,3,1,3,3,4,2,1,3,2,3,4,3,4,3,6,4,7,3,3,3,4,2,5,3,2,2,3,4,2,7,2,1,3,3,3,2,5,2,5,4,4,2,4,2,3,4,3,1
HA1704,2,1,10,3.7,3,6,3,3,3,1,5,5,3,5,3,6,5,4,6,4,4,5,4,4,3,5,6,5,5,5,5,4,2,4,3,1,4,3,3,4,6,4,3,7,3,6,3,3,2,4,3,3,2,1
NE2901,1,1,13,2.4,2,4,2,2,3,3,5,5,4,4,3,2,3,4,4,2,5,5,5,3,1,4,6,5,3,3,4,3,3,2,2,3,4,5,4,4,5,4,4,5,4,2,6,4,3,3,4,2,2,1
LO0811,2,1,18,9.7,4,8,5,2,1,3,7,5,5,7,7,4,6,4,4,4,5,5,6,5,3,5,3,4,2,2,2,6,4,4,4,10,6,6,6,6,4,4,4,3,4,2,5,1,5,5,5,3,2,0
TI1505,2,1,10,4.7,4,9,3,3,1,1,4,4,5,5,4,3,4,4,4,3,5,6,,5,3,5,4,4,4,2,2,4,4,4,4,4,3,3,2,4,2,3,4,4,4,3,4,3,2,1,3,2,3,0
VI2409,1,1,12,3,4,7,3,2,3,3,5,4,5,2,4,6,6,5,6,5,4,6,3,1,3,6,4,5,5,3,2,4,2,3,3,4,5,6,5,4,4,5,7,1,3,3,3,3,3,3,2,4,3,1
XO0103,1,1,2,2.1,2,0,2,5,1,1,3,3,4,3,3,4,5,3,5,3,,4,4,2,3,3,4,4,3,5,4,1,4,2,3,6,4,5,3,4,5,4,7,3,6,5,1,5,2,4,4,5,4,0
UN0402,1,1,11,4.3,2,4,3,3,2,2,,5,6,4,4,3,4,4,3,3,3,4,4,3,3,3,2,1,3,5,5,5,3,4,4,3,3,4,3,5,4,3,6,3,5,4,4,4,5,3,4,3,4,0
TT1113,2,1,1,2.7,2,8,3,4,1,2,4,4,3,4,5,5,4,5,3,5,5,5,5,4,3,3,3,2,4,4,5,3,3,3,3,3,2,3,4,3,3,2,5,4,3,5,3,4,3,3,5,3,3,1
HTX322,2,1,19,3.3,3,5,3,3,5,3,2,2,2,4,4,3,4,2,2,3,4,3,7,4,3,6,5,4,4,5,5,3,1,2,1,3,2,2,3,4,2,2,4,3,2,2,6,1,5,1,4,3,3,0
NAMNAM,1,1,3,5.4,3,0,2,2,1,1,4,6,6,4,4,1,2,3,3,2,6,5,6,3,3,5,4,5,5,5,4,4,3,1,2,5,4,3,4,3,5,3,4,5,4,3,4,2,3,4,2,3,4,0
MQ0000,1,1,2,1.2,2,3,2,3,1,4,4,6,3,4,3,1,1,3,1,1,5,3,5,4,3,3,4,3,3,4,5,4,3,2,3,0,3,4,4,3,3,3,3,4,3,5,5,4,2,3,3,5,4,1
123456,2,1,13,7.9,5,12,5,3,3,1,7,5,4,7,6,4,6,6,4,5,4,4,4,4,3,3,5,5,4,7,6,3,4,4,2,9,3,3,3,3,3,3,6,2,6,1,7,2,3,4,5,4,4,1
FILE01,2,1,5,2.2,2,0,1,3,2,3,4,4,5,4,3,4,,6,4,4,5,5,4,4,3,5,4,5,3,4,3,2,4,2,3,2,2,2,3,3,3,4,4,3,3,4,6,4,2,2,3,3,3,0
XONGV1,1,1,8,7.5,5,3,4,4,3,4,4,4,3,4,4,5,4,6,5,5,6,5,4,3,3,3,4,4,4,6,7,5,4,2,3,2,1,2,1,2,2,2,5,5,4,3,5,4,4,1,4,3,4,0
CHOT99,2,1,10,3.7,4,1,4,2,2,3,5,4,3,4,4,4,3,3,4,4,6,7,7,5,3,5,7,4,5,4,2,4,3,2,5,4,4,4,5,4,5,4,4,5,4,3,4,4,4,3,3,5,5,0
BANV2A,2,0,7,2.4,1,0,2,3,2,4,4,5,4,4,4,5,4,5,4,3,5,4,3,3,3,5,5,5,4,4,4,3,4,4,5,19,5,6,6,5,7,6,3,4,2,3,3,3,6,6,5,4,3,1
GUI102,2,0,11,11.5,5,19,5,1,1,1,4,3,3,3,3,3,4,5,3,3,,4,3,5,3,5,6,7,4,3,3,2,3,2,2,4,2,1,4,3,3,3,2,4,5,4,4,4,2,4,4,1,1,1
NCT001,1,1,12,2.1,3,3,3,5,6,1,4,5,3,4,3,4,2,2,3,4,3,5,3,2,3,4,5,4,6,3,3,3,2,3,2,16,3,4,3,4,4,4,5,4,3,3,5,2,2,3,4,5,4,1
XMSFIX,4,1,16,4.6,3,0,3,4,1,4,5,4,3,4,1,2,2,2,4,3,4,3,2,4,3,6,5,5,6,7,7,3,3,3,2,5,3,4,4,4,4,4,5,4,4,3,5,5,6,4,3,5,5,0
