source,N1,N2,A1,A5_tiktok,A5_shopee,A5_lazada,A5_facebook,A5_other,C1,C3,C4,C5,C7,D1,D2,D3,D4,D5,D6,EXP1,EXP2,EXP3,EXP4,EXP5,EXP6,IBT1,IBT2,IBT3,IBT4,IBT5,IBT6,IBT7,IBT8,IBT9,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,IMC1,SE1,SE2,SE3,SE4,SII1,SII2,SII3,SII4,IMC2,IPB1,IPB2,IPB3,IPB4,IPB5,IPB6,CONSIST1,MA1,MA2,MA3,TA1,TA2,TA3,MOOD1,MOOD2,FOMO1,FOMO2,FOMO3
0,TP2701,2,28,1,1,0,0,0,2,3,3,3.0,2,1,2.0,2,1,4,2,20,3.0,2,15,4,2,5,5,5,4.0,5.0,6,6.0,3,6.0,3.0,3.0,2,2.0,4,4.0,5,4,5.0,3.0,5.0,5,6,5,6,6,7,5,6,5,5,5,1,2,3,1,5,5,6,6,5,2,6,3,5,5,4,2,3,2,2
0,NN3007,2,33,0,1,0,0,0,2,4,3,5.0,3,2,2.0,3,3,5,4,10,4.0,4,3,4,3,5,4,3,3.0,3.0,5,5.0,5,5.0,5.0,2.0,1,1.0,3,5.0,5,5,3.0,3.0,6.0,5,3,5,5,5,6,6,4,4,3,5,1,2,3,3,3,5,6,6,6,1,6,2,6,5,3,2,2,2,1
0,HT2401,1,25,1,1,0,0,0,2,3,3,4.0,1,1,2.0,4,3,4,2,15,3.0,4,5,2,4,3,3,3,2.0,3.0,5,4.0,5,3.0,5.0,3.0,3,2.0,4,5.0,3,4,3.0,3.0,5.0,5,3,5,5,5,4,4,3,2,3,5,1,1,2,1,3,4,5,4,5,3,5,4,4,5,2,4,2,2,2
0,GD2909,2,27,1,1,1,0,0,2,3,3,4.0,1,1,2.0,3,2,4,3,10,2.0,4,4,4,4,5,5,4,3.0,5.0,6,5.0,5,6.0,6.0,3.0,3,3.0,5,3.0,5,3,5.0,5.0,4.0,5,5,5,5,5,6,4,5,4,5,5,1,2,3,2,5,5,5,5,3,5,5,3,5,5,4,3,2,2,2
0,MVT2791,2,29,0,1,1,0,0,2,3,3,3.0,2,2,4.0,2,4,5,3,40,5.0,2,20,5,2,5,4,5,5.0,5.0,6,5.0,4,6.0,4.0,4.0,2,2.0,4,5.0,4,4,3.0,3.0,5.0,5,4,5,6,5,6,6,5,5,5,5,1,3,3,2,4,5,5,5,5,3,5,4,4,5,4,4,2,1,1
0,VN192004,2,23,1,1,0,0,0,2,3,3,3.0,1,1,2.0,2,2,4,3,10,2.5,2,4,4,2,3,2,3,2.0,1.0,4,3.0,6,5.0,6.0,3.0,2,1.0,4,6.0,2,6,2.0,2.0,6.0,3,3,5,4,5,4,4,3,3,2,5,1,1,1,1,2,2,5,2,5,2,5,2,6,4,3,3,2,1,1
0,CM1998,2,26,1,1,1,0,0,2,4,3,4.0,2,1,2.0,1,1,4,2,8,0.5,1,6,4,2,3,3,3,3.0,3.0,4,4.0,6,2.0,5.0,3.0,2,3.0,3,6.0,2,4,3.0,3.0,5.0,3,2,5,4,5,6,5,2,3,3,4,1,0,0,0,1,1,1,3,5,2,5,4,3,5,4,4,2,2,2
0,HANTT,2,30,1,1,0,0,0,2,3,3,4.0,2,2,1.0,1,0,3,1,0,0.0,1,0,1,1,5,4,5,6.0,5.0,6,6.0,2,6.0,2.0,2.0,4,5.0,5,3.0,6,2,4.0,5.0,5.0,5,6,5,6,7,6,5,6,6,6,5,1,0,0,0,2,1,1,6,6,1,6,3,5,5,3,3,3,4,4
0,TT1404,2,28,1,1,0,1,0,2,3,3,4.0,1,4,2.0,2,2,5,4,10,2.0,4,2,4,1,4,4,5,5.0,5.0,6,5.0,5,5.0,5.0,5.0,3,3.0,5,5.0,5,5,3.0,5.0,5.0,5,3,5,5,5,6,5,4,4,4,4,1,3,2,1,4,5,5,5,3,5,6,6,1,6,4,4,4,4,2
0,LD0704,2,29,0,1,0,0,0,1,3,3,4.0,3,1,1.0,1,1,3,3,3,0.25,1,3,2,2,3,3,3,3.0,3.0,4,4.0,5,5.0,5.0,5.0,5,3.0,5,4.0,5,3,5.0,4.0,5.0,3,5,5,3,4,3,5,6,4,5,3,1,1,2,1,3,3,6,2,6,3,5,4,3,6,4,5,3,4,3
0,NAMWASTON,2,22,1,1,0,0,0,1,3,3,3.0,2,1,3.0,2,2,4,3,20,3.0,2,12,4,4,4,4,4,4.0,4.0,4,4.0,5,3.0,3.0,4.0,3,3.0,3,5.0,2,5,4.0,3.0,6.0,3,2,5,6,7,6,4,5,5,5,5,1,3,3,2,3,4,4,5,3,6,4,3,6,4,3,3,3,3,2
0,MT2102,2,31,1,1,0,0,0,2,3,3,4.0,2,1,1.0,3,1,2,3,6,5.0,3,6,3,4,5,5,5,4.0,4.0,4,4.0,4,4.0,5.0,4.0,4,5.0,4,4.0,4,4,4.0,4.0,4.0,4,4,5,4,4,4,5,5,5,5,5,1,3,4,1,5,5,4,4,4,5,4,4,5,5,3,3,3,3,3
0,KY1405,2,31,1,1,1,0,0,2,1,3,2.0,2,2,2.0,2,3,2,5,21,4.3,3,6,3,3,6,4,3,4.0,4.0,6,5.0,5,5.0,3.0,5.0,7,4.0,4,2.0,7,4,6.0,5.0,2.0,6,6,5,6,6,5,7,5,5,5,7,1,2,4,5,4,4,6,4,3,6,4,2,6,4,4,4,5,5,4
0,NX1803,1,28,1,0,0,0,0,2,3,3,2.0,1,1,4.0,3,4,2,0,15,6.5,3,7,3,2,3,2,4,3.0,3.0,4,3.0,4,4.0,5.0,2.0,4,3.0,2,5.0,3,2,5.0,3.0,4.0,4,2,5,6,5,4,5,5,3,3,3,1,5,3,5,3,6,6,3,4,2,5,4,4,3,3,4,3,4,1
0,HA2508,2,24,1,1,0,1,0,1,3,3,6.0,2,2,2.0,2,0,4,2,18,3.1,3,4,2,4,4,4,5,4.0,4.0,5,4.0,3,5.0,7.0,3.0,3,1.0,3,5.0,4,6,4.0,3.0,4.0,4,4,2,5,5,7,3,3,5,3,6,1,1,0,0,2,1,2,5,4,3,4,4,4,4,4,3,4,3,5
0,TV0912,1,25,1,0,0,0,0,1,3,3,3.0,2,1,1.0,1,4,3,5,4,32.0,2,4,1,3,6,4,3,4.0,3.0,4,5.0,5,3.0,3.0,3.0,4,5.0,4,5.0,5,5,4.0,3.0,3.0,5,3,5,4,4,4,5,5,3,4,4,2,7,3,3,5,4,2,3,4,6,2,5,2,5,3,2,2,1,2
0,RE0211,2,26,1,0,0,0,0,1,3,3,1.0,2,1,,5,3,4,2,25,15.3,5,2,5,4,4,4,4,4.0,4.0,4,4.0,4,4.0,4.0,3.0,4,4.0,4,4.0,4,4,4.0,4.0,4.0,4,4,5,4,4,4,4,4,4,4,4,1,4,2,2,4,4,4,2,4,4,4,4,4,4,3,4,2,1,2
0,UM2210,2,24,1,1,0,0,0,2,3,3,3.0,2,1,4.0,3,1,4,2,10,3.9,4,8,4,1,4,3,3,3.0,3.0,3,3.0,3,3.0,5.0,2.0,5,2.0,3,6.0,5,4,3.0,3.0,5.0,3,3,5,5,3,4,5,3,1,3,3,1,0,1,3,2,2,3,3,3,4,3,4,7,3,4,4,3,4,3
0,IO3107,2,33,0,0,1,1,0,2,4,3,4.0,3,3,4.0,4,3,1,0,10,2.4,3,6,4,4,3,2,4,2.0,3.0,6,4.0,5,2.0,3.0,4.0,5,6.0,6,3.0,6,3,6.0,6.0,2.0,3,5,5,4,5,5,5,7,6,5,6,1,2,5,5,4,5,5,3,5,3,4,4,4,2,2,2,3,2,3
0,PQ0501,1,28,0,1,0,0,0,2,2,3,4.0,1,2,4.0,4,3,5,4,25,4.2,4,6,4,3,5,5,5,5.0,5.0,5,5.0,5,5.0,5.0,5.0,5,5.0,5,5.0,5,5,5.0,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,2,0,2,3,5,5,5,2,5,5,5,5,5,5,4,3,3,2,1
0,LT2904,2,32,0,0,1,0,0,2,3,3,1.0,4,3,2.0,1,0,5,2,2,2.4,2,5,2,2,3,3,4,2.0,3.0,4,2.0,2,3.0,5.0,4.0,3,4.0,5,6.0,3,5,4.0,4.0,5.0,4,4,5,3,3,6,3,5,5,5,5,1,3,1,0,3,2,3,4,3,3,3,3,5,3,4,3,3,2,3
0,BE1306,1,24,1,0,1,0,0,2,4,3,4.0,2,1,2.0,2,0,1,1,6,1.2,1,1,1,2,4,5,3,5.0,1.0,4,5.0,4,2.0,3.0,6.0,7,3.0,6,3.0,6,2,5.0,5.0,3.0,5,5,7,6,6,5,4,5,3,4,3,1,0,2,1,2,2,2,2,5,5,3,4,6,3,4,4,2,2,2
0,XY2009,2,35,0,1,0,1,0,1,3,3,5.0,2,4,4.0,4,3,2,4,26,7.8,4,2,4,3,5,6,4,4.0,4.0,5,5.0,3,5.0,3.0,4.0,5,7.0,7,3.0,6,3,6.0,5.0,4.0,5,5,5,5,6,5,6,7,6,5,6,1,2,3,3,3,4,4,5,5,3,3,4,5,4,4,4,5,5,4
0,GR0702,2,27,1,0,0,1,0,2,4,3,99.0,4,1,2.0,2,3,5,5,10,3.1,2,2,2,4,4,5,4,4.0,2.0,5,5.0,4,3.0,3.0,5.0,6,2.0,5,5.0,5,4,3.0,2.0,5.0,3,4,2,7,7,5,5,2,2,3,2,2,5,5,5,5,5,4,3,2,5,3,3,4,4,5,4,1,1,4
0,MK0108,1,30,0,0,1,0,0,2,3,3,4.0,3,3,2.0,2,0,5,4,11,2.9,2,2,2,2,5,3,3,4.0,3.0,4,3.0,7,2.0,4.0,4.0,2,3.0,4,4.0,4,2,3.0,4.0,4.0,4,4,5,5,6,6,5,5,4,4,4,1,0,1,4,3,3,2,4,4,4,4,1,7,3,3,2,4,4,4
0,DS1611,1,23,1,0,0,1,0,2,2,3,3.0,1,1,4.0,4,4,4,4,18,3.3,4,5,3,5,2,3,1,3.0,4.0,3,2.0,4,3.0,4.0,5.0,4,5.0,4,5.0,5,3,3.0,3.0,5.0,4,6,5,3,3,3,5,3,3,3,3,2,6,3,4,2,5,5,4,4,5,4,2,5,2,3,3,3,3,2
0,PL2412,2,28,1,0,0,0,0,2,3,3,2.0,2,1,,4,3,2,3,10,7.4,5,2,5,2,3,3,3,4.0,3.0,3,2.0,4,2.0,2.0,4.0,6,5.0,5,2.0,6,1,6.0,6.0,3.0,5,5,5,6,3,4,4,5,5,5,5,1,0,3,2,3,5,3,4,4,6,4,3,6,2,4,2,3,3,2
0,VN1105,2,25,1,1,0,1,0,2,3,3,1.0,4,1,2.0,3,4,2,0,2,5.4,2,9,2,3,4,3,5,4.0,4.0,6,5.0,5,5.0,5.0,4.0,5,4.0,4,5.0,4,1,5.0,3.0,5.0,6,4,5,4,4,5,3,5,5,5,5,1,5,5,5,4,4,5,5,3,3,4,4,5,3,3,3,4,5,2
0,QA1910,1,26,0,1,0,0,0,2,4,3,3.0,3,2,3.0,2,1,5,3,17,2.4,3,8,3,5,3,2,2,4.0,3.0,3,4.0,4,4.0,5.0,2.0,3,1.0,2,4.0,4,3,5.0,6.0,3.0,4,4,5,5,6,5,4,6,5,5,5,1,0,1,2,5,2,4,4,3,3,4,2,4,5,1,2,3,4,3
0,HT0303,1,23,1,0,1,0,0,1,3,3,1.0,2,1,,4,3,3,3,21,8.9,4,3,5,4,6,5,3,3.0,3.0,6,6.0,4,6.0,2.0,5.0,6,5.0,5,3.0,4,2,4.0,6.0,3.0,6,4,5,4,5,6,5,4,5,3,5,1,8,3,2,4,5,4,4,2,6,4,4,3,3,4,3,5,4,3
0,BI1507,2,31,1,0,0,0,0,2,1,3,5.0,2,5,4.0,4,1,2,3,14,8.4,4,4,4,4,3,3,3,4.0,2.0,4,2.0,5,4.0,3.0,5.0,7,4.0,4,3.0,6,1,4.0,4.0,5.0,6,4,5,2,2,4,3,5,3,2,5,1,5,2,2,4,3,3,2,3,5,4,5,3,7,4,3,4,4,4
0,RE2701,2,25,1,0,0,0,0,1,4,3,2.0,1,1,3.0,2,4,3,0,3,4.8,2,13,3,4,5,3,3,4.0,4.0,5,4.0,4,5.0,3.0,4.0,4,3.0,4,3.0,4,3,4.0,5.0,5.0,5,4,5,5,5,5,5,2,4,2,4,1,0,4,5,6,6,7,3,4,3,4,3,5,4,3,4,3,2,1
0,LY2106,2,32,0,1,0,0,0,2,3,3,3.0,1,2,3.0,3,2,5,4,12,3.7,3,6,3,3,4,5,3,4.0,4.0,5,6.0,3,4.0,4.0,5.0,5,5.0,4,5.0,4,4,5.0,4.0,4.0,3,5,5,7,5,6,6,3,4,4,4,1,14,3,4,4,5,4,5,6,4,4,3,4,3,3,3,4,3,4
0,KO0809,2,29,1,1,0,1,0,2,3,3,1.0,1,2,3.0,2,3,5,4,6,2.8,2,7,3,3,3,4,3,3.0,5.0,4,5.0,3,3.0,6.0,3.0,3,4.0,5,4.0,3,5,5.0,2.0,3.0,3,3,5,6,5,6,5,5,3,5,6,1,0,3,2,4,3,5,4,3,4,3,3,6,2,2,2,4,4,5
0,SU1202,1,24,1,1,1,0,0,2,3,3,2.0,4,1,1.0,1,1,4,2,4,1.3,1,1,1,2,3,3,3,3.0,2.0,3,2.0,5,3.0,4.0,1.0,5,4.0,4,3.0,4,4,3.0,4.0,5.0,6,4,5,3,3,3,3,1,2,2,4,2,2,1,2,4,4,3,4,6,3,3,4,4,4,2,3,2,1,2
0,PE0404,2,26,1,0,1,1,0,2,3,3,2.0,3,3,2.0,1,0,5,1,10,2.5,1,3,2,2,1,1,1,1.0,2.0,2,3.0,4,3.0,5.0,7.0,4,3.0,5,5.0,3,3,3.0,4.0,4.0,2,3,5,3,3,4,4,2,3,4,4,1,1,1,1,2,1,2,1,3,5,5,4,4,2,4,5,1,2,1
0,TH0208,1,27,0,1,0,0,0,2,3,3,4.0,3,2,4.0,2,0,4,3,32,9.4,3,8,4,1,3,3,2,2.0,3.0,2,3.0,5,4.0,4.0,3.0,3,3.0,5,3.0,4,4,4.0,4.0,6.0,3,4,5,4,5,3,4,3,3,3,3,1,3,1,1,1,3,3,2,7,2,5,3,4,4,4,3,2,1,3
0,NA2611,1,27,1,0,0,1,0,2,3,3,2.0,2,1,,4,4,3,4,10,6.4,4,10,4,2,4,4,3,5.0,5.0,5,6.0,3,4.0,3.0,4.0,4,4.0,6,4.0,4,1,5.0,4.0,4.0,6,5,5,6,6,7,6,3,3,5,2,1,1,2,4,4,4,4,5,4,4,3,5,3,5,4,3,1,3,1
0,VO3003,2,28,0,1,0,1,0,2,3,3,5.0,1,2,1.0,1,2,1,1,0,2.1,1,0,1,1,6,4,3,4.0,2.0,5,2.0,3,4.0,4.0,5.0,4,6.0,6,2.0,5,1,4.0,5.0,3.0,5,7,5,5,4,5,3,4,5,4,5,1,3,2,1,3,3,4,4,1,6,1,4,3,4,3,4,5,3,3
0,XE0910,2,26,0,1,0,0,0,2,3,3,99.0,4,2,,4,4,4,5,18,6.2,4,1,5,3,6,3,5,5.0,5.0,4,5.0,7,3.0,5.0,4.0,5,4.0,4,4.0,4,4,2.0,3.0,5.0,5,3,5,5,6,6,7,2,3,4,4,1,3,4,4,5,4,4,5,4,4,4,3,5,1,4,5,1,3,3
0,MI1705,2,28,1,0,1,0,0,1,3,3,3.0,1,3,1.0,1,1,5,2,2,1.9,1,5,1,4,3,3,3,4.0,2.0,3,2.0,5,4.0,4.0,3.0,3,4.0,4,4.0,2,3,4.0,2.0,6.0,4,4,5,4,4,4,5,5,4,3,4,1,1,1,1,4,1,4,2,2,6,2,4,6,4,4,3,3,4,3
0,DU1407,1,26,0,1,1,0,0,2,3,3,4.0,3,3,2.0,1,2,2,5,4,3.7,2,1,1,3,3,5,6,5.0,5.0,5,5.0,3,5.0,2.0,4.0,4,7.0,5,2.0,6,4,6.0,3.0,2.0,5,5,5,3,2,3,3,4,5,4,3,1,1,3,3,3,6,4,4,5,3,4,5,2,5,4,4,3,4,3
0,LE1804,2,24,1,0,0,0,0,2,2,3,4.0,3,1,3.0,4,2,3,5,7,2.4,3,1,3,4,2,3,2,3.0,3.0,3,3.0,3,3.0,6.0,2.0,4,4.0,4,4.0,5,5,4.0,1.0,2.0,4,3,5,4,5,5,5,4,3,4,2,1,3,2,4,2,4,3,3,3,4,3,3,4,2,4,3,2,2,2
0,RI2511,2,24,1,0,0,1,0,2,1,3,2.0,1,1,3.0,1,2,3,2,2,5.5,2,0,2,4,2,2,3,4.0,2.0,4,5.0,4,2.0,4.0,5.0,5,3.0,6,3.0,4,3,6.0,5.0,4.0,3,6,5,5,5,5,5,4,3,2,4,2,2,3,3,3,3,4,2,3,5,3,5,2,5,3,3,2,1,1
0,BA2312,2,23,1,0,1,0,0,1,3,3,4.0,1,1,2.0,3,3,4,0,32,6.6,2,9,2,4,6,3,6,6.0,7.0,6,7.0,1,5.0,3.0,5.0,3,6.0,5,1.0,4,1,7.0,5.0,2.0,6,5,5,5,5,6,6,4,3,4,5,1,10,5,4,4,5,6,5,4,5,4,3,3,4,3,2,4,4,5
0,GO0601,2,25,1,0,0,0,0,2,4,3,2.0,1,1,2.0,3,0,4,1,2,1.6,2,15,2,2,3,3,2,2.0,2.0,4,2.0,1,2.0,7.0,2.0,2,2.0,2,7.0,1,7,1.0,4.0,5.0,3,2,5,1,3,3,3,3,5,5,5,1,0,0,0,1,1,1,3,5,4,6,2,3,3,4,4,3,3,3
0,NH0706,2,28,0,0,0,1,0,2,3,3,3.0,2,4,4.0,5,2,4,3,7,3.7,4,3,4,2,2,4,3,3.0,2.0,3,3.0,5,3.0,7.0,3.0,5,5.0,2,4.0,4,4,2.0,4.0,5.0,2,3,5,3,4,4,3,5,5,5,2,1,1,3,1,5,4,3,3,5,5,3,5,5,2,2,2,4,4,3
0,TA0109,1,27,0,1,0,1,0,2,3,3,2.0,1,2,2.0,2,0,4,2,1,2.8,2,0,1,2,4,2,3,4.0,3.0,5,3.0,2,4.0,3.0,4.0,5,5.0,5,5.0,4,5,5.0,7.0,5.0,4,6,5,4,4,3,4,3,4,2,3,1,0,0,0,3,2,1,2,6,2,5,4,3,4,3,3,2,2,1
0,VY1302,2,25,1,0,1,0,0,2,3,3,5.0,2,3,3.0,3,4,4,0,1,3.8,4,6,3,2,5,4,5,5.0,5.0,6,5.0,2,5.0,3.0,4.0,6,6.0,6,4.0,5,4,3.0,3.0,4.0,7,5,5,4,6,5,5,6,4,5,3,1,10,4,5,5,4,5,5,3,5,4,5,5,3,5,4,3,3,2
0,PI2010,2,29,1,0,1,0,0,1,3,3,3.0,2,3,3.0,2,2,2,3,3,4.7,3,2,2,2,5,3,2,2.0,3.0,4,4.0,4,2.0,6.0,3.0,3,2.0,4,7.0,4,2,3.0,3.0,6.0,3,3,5,4,3,3,4,6,4,4,4,1,2,2,4,4,3,3,2,3,3,4,3,6,4,4,4,3,4,3
0,MA2805,2,30,1,0,0,0,0,2,3,3,3.0,1,1,,4,3,5,4,19,12.4,4,17,5,3,4,2,2,1.0,3.0,2,2.0,6,3.0,5.0,2.0,2,3.0,3,6.0,4,4,3.0,3.0,4.0,4,2,5,3,4,3,4,2,3,5,5,1,2,1,4,5,3,4,3,6,2,5,4,5,6,3,4,2,2,2
0,LU0403,2,31,0,1,1,0,0,2,3,3,3.0,2,2,4.0,4,2,4,0,43,6.6,3,48,4,3,4,4,1,4.0,5.0,4,3.0,5,3.0,4.0,5.0,7,3.0,4,5.0,4,1,5.0,5.0,3.0,7,4,5,4,5,5,2,2,3,4,5,2,7,4,2,5,5,4,2,3,4,4,1,5,2,3,2,5,4,3
0,TI1112,1,35,0,0,1,1,0,2,1,3,3.0,2,3,4.0,4,1,4,4,33,7.9,4,5,4,4,4,3,4,4.0,5.0,5,3.0,3,5.0,4.0,6.0,6,5.0,5,3.0,5,3,6.0,7.0,3.0,7,6,5,4,6,6,3,4,3,4,4,1,0,2,2,4,3,4,4,6,2,4,4,5,4,4,3,2,2,3
0,CO1908,2,26,1,0,0,0,0,2,3,3,3.0,1,1,2.0,1,1,3,4,8,4.0,2,6,1,5,5,4,6,5.0,5.0,5,7.0,3,4.0,1.0,4.0,6,6.0,7,4.0,7,3,5.0,5.0,3.0,6,5,5,4,4,4,2,5,5,4,5,7,6,4,4,5,3,5,5,4,3,7,3,5,4,3,4,2,4,4
0,DU0201,2,27,1,0,1,0,0,2,3,3,6.0,3,3,2.0,1,3,4,4,7,3.4,2,3,2,3,4,3,4,2.0,4.0,5,5.0,5,3.0,4.0,3.0,5,3.0,4,4.0,4,2,4.0,4.0,3.0,5,4,5,4,5,5,5,4,3,2,5,1,0,2,3,3,3,4,3,6,3,6,6,3,5,3,3,3,4,5
0,KH2211,2,24,0,0,1,1,0,1,3,3,5.0,1,4,2.0,1,0,3,3,4,1.5,1,4,2,4,3,4,4,3.0,2.0,4,2.0,2,3.0,4.0,4.0,4,4.0,6,2.0,4,4,2.0,4.0,4.0,4,2,5,3,5,6,4,4,3,4,4,1,3,1,2,4,3,3,4,3,2,4,3,4,4,5,4,3,3,3
0,SO1504,2,32,1,0,0,0,0,1,4,3,4.0,1,1,,5,2,5,4,10,12.3,5,3,5,4,4,4,4,4.0,4.0,4,4.0,4,4.0,4.0,4.0,4,4.0,4,4.0,4,4,4.0,4.0,4.0,4,4,5,4,4,4,4,4,4,4,4,1,1,2,1,4,4,4,2,4,4,4,4,4,4,3,4,2,2,2
0,ME3101,2,25,1,1,1,0,0,2,2,3,1.0,2,2,3.0,3,3,5,3,16,6.4,2,5,2,2,2,1,2,2.0,2.0,5,3.0,6,1.0,4.0,5.0,5,3.0,4,4.0,5,4,5.0,4.0,5.0,5,4,5,5,3,4,3,3,4,3,5,1,1,3,4,4,5,4,2,5,5,4,5,4,5,4,3,2,2,2
0,LA0907,2,26,0,1,0,0,0,2,4,3,6.0,2,2,2.0,2,2,2,3,5,2.2,1,3,2,2,3,3,3,3.0,3.0,3,3.0,3,3.0,3.0,3.0,3,3.0,3,3.0,3,3,3.0,3.0,3.0,3,3,5,3,3,3,3,3,3,3,3,1,2,1,2,3,3,3,4,3,3,3,3,3,3,4,4,5,4,4
0,PH0609,1,25,1,0,0,0,0,2,4,3,1.0,2,1,1.0,1,1,5,3,1,1.3,1,0,1,5,3,3,3,4.0,4.0,5,5.0,4,6.0,6.0,3.0,4,3.0,2,6.0,6,5,4.0,4.0,7.0,3,4,5,4,5,5,5,2,4,3,3,1,1,1,2,1,3,4,4,4,4,2,6,4,5,4,3,5,5,4
0,VA2403,2,28,1,1,0,0,0,2,3,3,4.0,2,2,3.0,4,1,5,2,17,7.6,3,1,3,3,3,4,4,4.0,3.0,3,4.0,4,5.0,4.0,4.0,5,3.0,6,4.0,6,2,3.0,7.0,4.0,6,6,5,4,4,5,5,3,1,2,3,1,5,3,1,3,3,5,4,3,5,3,4,4,4,4,4,1,3,3
0,RY1710,2,28,0,0,0,1,0,1,2,3,4.0,3,4,4.0,4,2,5,5,13,13.5,3,1,4,4,3,3,2,3.0,2.0,4,4.0,5,4.0,5.0,3.0,3,4.0,5,6.0,3,5,3.0,4.0,6.0,2,1,5,5,5,4,5,4,3,2,5,1,3,2,3,3,4,5,2,5,5,4,2,3,3,2,3,2,3,4
