id,source,N1,gender,age,A5_tiktok,A5_shopee,A5_lazada,A5_facebook,A5_other,C1,education,occupation,income,relationship,D1,D2,D3,D4,D5,D6,EXP1,EXP2,EXP3,EXP4,EXP5,EXP6,IBT1,IBT2,IBT3,IBT4,IBT5,IBT6,IBT7,IBT8,IBT9,SC1,SC2,SC3,SC4,SC5,SC6,SC7,SC8,SC9,SC10,SC11,SC12,SC13,IMC1,SE1,SE2,SE3,SE4,SII1,SII2,SII3,SII4,IMC2,IPB1,IPB2,IPB3,IPB4,IPB5,IPB6,CONSIST1,MA1,MA2,MA3,TA1,TA2,TA3,MOOD1,MOOD2,FOMO1,FOMO2,FOMO3,completed_t2
11,0,123456,2,25,1,0,0,0,0,2,3,3,3.0,1,1.0,1.0,2.0,1.0,5.0,2.0,20,1.0,2.0,5.0,2.0,4.0,5.0,4.0,3.0,1.0,2.0,6.0,5.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,6.0,7.0,2.0,3.0,5.0,6.0,4.0,2.0,5.0,5.0,6.0,7.0,7.0,4.0,1.0,6.0,4.0,1.0,2,4.0,2.0,4.0,2.0,5.0,5.0,1.0,3.0,5.0,2.0,6.0,5.0,3.0,3.0,3.0,5.0,1.0,1
12,1,123789,2,20,1,1,0,0,0,2,1,2,1.0,1,1.0,1.0,3.0,2.0,2.0,4.0,5,45.0,3.0,8.0,3.0,4.0,5.0,4.0,6.0,4.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,5.0,2.0,2.0,4.0,6.0,3.0,6.0,6.0,3.0,4.0,5.0,5.0,5.0,5.0,3.0,5.0,4.0,5.0,6.0,4.0,1.0,4,3.0,4.0,4.0,5.0,4.0,4.0,3.0,7.0,5.0,5.0,2.0,3.0,3.0,4.0,5.0,5.0,4.0,0
13,1,1410,0,22,1,1,0,0,0,1,3,1,1.0,2,1.0,2.0,2.0,0.0,4.0,2.0,10,2.0,2.0,10.0,4.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,6.0,2.0,6.0,5.0,6.0,3.0,4.0,6.0,6.0,6.0,6.0,7.0,7.0,4.0,6.0,5.0,7.0,5.0,7.0,7.0,7.0,3.0,6.0,7.0,1.0,0,0.0,2.0,2.0,4.0,6.0,4.0,7.0,2.0,7.0,7.0,2.0,7.0,4.0,2.0,5.0,5.0,5.0,0
14,0,150386,2,34,1,1,0,1,0,1,3,3,5.0,3,2.0,1.0,1.0,0.0,4.0,0.0,2,0.0,1.0,0.0,1.0,3.0,7.0,4.0,7.0,1.0,2.0,5.0,3.0,6.0,7.0,3.0,7.0,7.0,7.0,7.0,3.0,7.0,2.0,4.0,6.0,3.0,7.0,7.0,5.0,5.0,5.0,7.0,5.0,7.0,1.0,1.0,7.0,1.0,0,3.0,0.0,1.0,1.0,1.0,5.0,4.0,5.0,5.0,5.0,3.0,5.0,3.0,2.0,4.0,4.0,1.0,0
15,1,2209,0,22,1,1,0,1,0,2,2,2,2.0,1,1.0,3.0,3.0,1.0,2.0,4.0,10,7.0,3.0,4.0,3.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,4.0,4.0,3.0,5.0,6.0,6.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5,2.0,2.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,4.0,4.0,0
16,1,222,0,21,1,1,0,0,0,2,3,2,1.0,2,2.0,3.0,4.0,4.0,1.0,0.0,18,4.4,5.0,5.0,4.0,4.0,4.0,5.0,6.0,4.0,5.0,4.0,4.0,5.0,4.0,6.0,4.0,3.0,2.0,2.0,4.0,4.0,6.0,4.0,2.0,5.0,3.0,1.0,5.0,6.0,6.0,3.0,4.0,4.0,3.0,3.0,4.0,1.0,12,5.0,5.0,5.0,5.0,6.0,1.0,3.0,7.0,4.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,4.0,0
17,1,2222,0,20,1,1,1,0,0,1,3,2,1.0,1,2.0,1.0,2.0,2.0,4.0,3.0,10,3.0,2.0,1.0,3.0,2.0,3.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,3.0,5.0,1.0,4.0,3.0,4.0,7.0,7.0,3.0,5.0,4.0,4.0,3.0,2.0,5.0,5.0,6.0,6.0,5.0,6.0,3.0,7.0,5.0,1.0,1,1.0,2.0,5.0,3.0,2.0,6.0,4.0,3.0,6.0,5.0,1.0,5.0,3.0,3.0,3.0,4.0,3.0,0
18,1,22222,0,19,1,0,0,1,0,3,3,1,3.0,1,1.0,2.0,4.0,1.0,4.0,2.0,4,6.0,5.0,0.0,5.0,3.0,4.0,3.0,4.0,2.0,2.0,3.0,2.0,4.0,2.0,3.0,4.0,3.0,1.0,5.0,2.0,5.0,4.0,7.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,2.0,2.0,3.0,2,1.0,2.0,4.0,3.0,2.0,2.0,5.0,7.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,0
19,1,222222,0,20,0,1,0,1,0,2,1,2,1.0,1,4.0,2.0,3.0,0.0,2.0,1.0,30,0.7,3.0,6.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2,1.0,2.0,4.0,4.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,1.0,0
20,0,3,0,24,1,1,0,0,0,1,3,3,3.0,1,5.0,1.0,1.0,0.0,5.0,3.0,0,0.0,1.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,7.0,2.0,7.0,4.0,4.0,4.0,7.0,7.0,7.0,3.0,2.0,3.0,3.0,6.0,6.0,5.0,5.0,7.0,3.0,3.0,6.0,6.0,2.0,6.0,1.0,0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,3.0,2.0,1.0,7.0,1.0,3.0,1.0,1.0,1.0,1.0,0
21,1,333,0,19,1,0,0,0,0,2,3,1,2.0,1,1.0,2.0,4.0,3.0,3.0,5.0,1,18.6,3.0,4.0,2.0,4.0,3.0,3.0,3.0,1.0,2.0,3.0,2.0,4.0,1.0,3.0,2.0,6.0,6.0,5.0,4.0,5.0,2.0,4.0,5.0,4.0,6.0,3.0,1.0,5.0,5.0,5.0,5.0,3.0,1.0,2.0,4.0,1.0,4,5.0,3.0,4.0,2.0,5.0,7.0,4.0,7.0,4.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,2.0,0
22,1,3333,0,18,1,0,0,1,0,1,3,4,2.0,2,1.0,2.0,3.0,2.0,2.0,4.0,15,2.1,3.0,3.0,3.0,1.0,3.0,6.0,3.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,6.0,4.0,4.0,3.0,5.0,2.0,4.0,4.0,4.0,3.0,5.0,1.0,3.0,5.0,4.0,5.0,5.0,6.0,3.0,5.0,1.0,2,4.0,4.0,1.0,5.0,4.0,2.0,2.0,5.0,4.0,5.0,1.0,5.0,2.0,2.0,4.0,3.0,3.0,0
23,1,333333,0,18,0,1,0,0,0,1,3,1,1.0,1,2.0,2.0,2.0,1.0,4.0,3.0,16,3.3,2.0,7.0,2.0,5.0,3.0,2.0,4.0,3.0,2.0,2.0,5.0,7.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,3.0,4.0,6.0,5.0,3.0,5.0,5.0,3.0,3.0,5.0,7.0,5.0,3.0,4.0,4.0,1.0,4,2.0,1.0,4.0,5.0,3.0,2.0,2.0,5.0,1.0,2.0,3.0,4.0,5.0,3.0,3.0,1.0,4.0,0
24,1,444,0,20,1,0,0,0,0,1,3,1,2.0,1,1.0,1.0,2.0,3.0,5.0,5.0,7,8.5,1.0,4.0,2.0,3.0,4.0,3.0,5.0,4.0,1.0,4.0,6.0,3.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,5.0,4.0,3.0,3.0,5.0,3.0,7.0,8,5.0,4.0,1.0,3.0,6.0,4.0,4.0,6.0,2.0,3.0,6.0,5.0,3.0,3.0,3.0,4.0,3.0,0
25,1,4444,0,19,1,1,0,1,0,1,1,4,1.0,2,2.0,2.0,1.0,4.0,5.0,0.0,14,5.6,2.0,1.0,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,6.0,4.0,4.0,4.0,5.0,6.0,3.0,3.0,5.0,2.0,3.0,4.0,5.0,3.0,4.0,5.0,3.0,6.0,5.0,7,5.0,5.0,3.0,5.0,4.0,1.0,2.0,5.0,2.0,3.0,3.0,3.0,2.0,2.0,4.0,2.0,5.0,0
26,1,44444,0,19,1,0,1,0,0,2,3,1,2.0,2,1.0,4.0,5.0,3.0,2.0,4.0,10,4.1,5.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,5.0,3.0,4.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,7.0,5.0,3.0,2.0,3.0,4.0,1.0,10,5.0,3.0,4.0,5.0,3.0,5.0,1.0,6.0,1.0,4.0,1.0,5.0,1.0,2.0,2.0,3.0,2.0,0
27,1,444444,0,21,0,1,0,0,0,1,1,1,1.0,2,2.0,1.0,2.0,2.0,5.0,5.0,8,14.1,3.0,14.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,5,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,2.0,0
28,1,555,0,19,1,1,0,0,0,2,3,2,2.0,1,1.0,1.0,1.0,0.0,4.0,3.0,1,3.2,1.0,8.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,2.0,6.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,7.0,6.0,5.0,5.0,4.0,5.0,6.0,4.0,2.0,0,2.0,2.0,1.0,2.0,5.0,2.0,2.0,7.0,2.0,6.0,3.0,4.0,3.0,4.0,2.0,3.0,2.0,0
29,1,5555,0,21,1,0,1,0,0,2,3,4,1.0,2,1.0,3.0,5.0,1.0,4.0,2.0,18,5.9,3.0,2.0,3.0,4.0,7.0,4.0,3.0,6.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,6.0,4.0,4.0,3.0,2.0,5.0,6.0,5.0,5.0,6.0,3.0,3.0,3.0,3.0,4.0,5,2.0,1.0,4.0,2.0,4.0,7.0,4.0,5.0,3.0,6.0,3.0,5.0,3.0,3.0,2.0,4.0,1.0,0
30,1,55555,0,22,0,0,1,0,0,1,1,2,2.0,1,3.0,3.0,3.0,3.0,5.0,3.0,8,2.5,3.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,5.0,4.0,7.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,5.0,5.0,7.0,6.0,3.0,5.0,4.0,4.0,6.0,4.0,5.0,4.0,5.0,0,3.0,1.0,4.0,3.0,5.0,5.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,5.0,0
31,1,555555,0,20,0,1,0,0,0,2,3,1,2.0,2,2.0,3.0,3.0,3.0,3.0,4.0,1,16.7,3.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,6.0,5.0,4.0,6.0,5.0,2.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,2.0,6.0,6.0,4.0,2.0,5.0,5.0,7.0,7.0,4.0,5.0,6.0,4.0,2.0,1.0,5,2.0,3.0,4.0,3.0,3.0,1.0,4.0,7.0,3.0,5.0,3.0,6.0,3.0,3.0,5.0,2.0,1.0,0
32,1,666,0,20,1,0,0,0,0,2,3,2,1.0,1,1.0,1.0,1.0,1.0,5.0,2.0,1,2.2,1.0,9.0,2.0,3.0,4.0,1.0,3.0,4.0,1.0,3.0,3.0,4.0,2.0,4.0,3.0,2.0,5.0,5.0,4.0,4.0,3.0,6.0,7.0,5.0,2.0,5.0,5.0,4.0,5.0,4.0,7.0,4.0,1.0,4.0,4.0,1.0,0,0.0,0.0,3.0,3.0,3.0,1.0,2.0,7.0,3.0,5.0,5.0,4.0,5.0,3.0,2.0,3.0,2.0,0
33,1,66666,0,20,1,1,0,0,0,2,2,1,2.0,3,1.0,2.0,4.0,1.0,3.0,4.0,18,5.8,4.0,6.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2,3.0,2.0,4.0,4.0,4.0,7.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,0
34,1,666666,0,21,1,1,0,0,0,1,3,2,,1,2.0,2.0,1.0,0.0,5.0,1.0,7,7.5,2.0,3.0,1.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,2.0,4.0,4.0,7.0,6.0,4.0,3.0,4.0,3.0,4.0,3.0,4.0,6.0,4.0,6.0,4.0,4.0,6.0,5.0,2.0,4.0,3.0,4.0,2.0,0,1.0,1.0,2.0,1.0,2.0,2.0,3.0,7.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,3.0,2.0,0
35,1,777,0,20,1,1,0,0,0,1,3,1,2.0,1,1.0,1.0,2.0,2.0,4.0,5.0,2,3.5,3.0,3.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,5.0,4.0,6.0,3.0,4.0,3.0,3.0,6.0,6.0,3.0,3.0,6.0,7.0,4.0,3.0,5.0,6.0,3.0,4.0,2.0,4.0,2.0,4,5.0,1.0,4.0,4.0,3.0,3.0,1.0,7.0,5.0,3.0,3.0,5.0,4.0,3.0,2.0,4.0,3.0,0
36,1,77777,0,20,1,1,1,0,0,2,3,1,2.0,1,1.0,3.0,4.0,2.0,2.0,4.0,24,3.2,2.0,1.0,4.0,4.0,7.0,5.0,5.0,5.0,3.0,4.0,6.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,3.0,6.0,5.0,1.0,3.0,5.0,6.0,5.0,5.0,4.0,4.0,6.0,4.0,4.0,2.0,3.0,3.0,5.0,0,1.0,3.0,2.0,2.0,3.0,7.0,2.0,6.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,0
37,1,777777,0,19,0,1,0,0,0,2,3,2,3.0,2,2.0,2.0,2.0,0.0,3.0,3.0,9,2.2,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0,0
38,1,8888,0,20,1,0,1,0,0,2,3,1,2.0,1,1.0,3.0,2.0,4.0,4.0,5.0,7,6.4,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,5.0,3.0,4.0,6.0,6.0,6.0,2.0,4.0,5.0,5.0,4.0,3.0,6.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,4.0,4.0,4.0,3.0,2,2.0,4.0,4.0,3.0,4.0,1.0,2.0,5.0,2.0,4.0,3.0,7.0,4.0,3.0,3.0,4.0,1.0,0
39,1,88888,0,19,1,0,0,0,0,2,1,4,1.0,2,5.0,2.0,3.0,4.0,2.0,5.0,9,0.8,4.0,3.0,2.0,1.0,3.0,6.0,5.0,2.0,4.0,4.0,5.0,3.0,5.0,4.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,2.0,5.0,5.0,4.0,5.0,6.0,6.0,5.0,6.0,2.0,6.0,5.0,4.0,1.0,3,4.0,3.0,3.0,3.0,2.0,7.0,4.0,4.0,2.0,5.0,4.0,5.0,2.0,3.0,5.0,4.0,4.0,0
40,1,888888,0,19,0,1,1,1,0,2,2,1,3.0,1,2.0,1.0,2.0,2.0,4.0,0.0,15,3.4,3.0,5.0,2.0,2.0,3.0,4.0,4.0,5.0,1.0,2.0,5.0,6.0,4.0,3.0,6.0,2.0,5.0,3.0,2.0,3.0,1.0,6.0,6.0,5.0,5.0,3.0,7.0,5.0,5.0,5.0,4.0,4.0,2.0,5.0,3.0,2.0,4,4.0,5.0,7.0,3.0,4.0,2.0,4.0,5.0,1.0,5.0,3.0,7.0,4.0,3.0,1.0,2.0,2.0,0
41,1,999,0,22,1,0,0,0,0,2,3,1,1.0,2,1.0,3.0,3.0,1.0,4.0,4.0,44,6.6,2.0,20.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,6.0,6.0,4.0,3.0,5.0,4.0,5.0,3.0,4.0,5.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,6.0,4.0,3.0,3.0,5.0,3.0,4.0,0,1.0,2.0,3.0,3.0,4.0,1.0,3.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,0
42,1,9999,0,20,1,0,1,0,0,1,3,2,1.0,1,1.0,3.0,4.0,2.0,2.0,4.0,23,3.6,4.0,4.0,4.0,2.0,5.0,1.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,5.0,3.0,7.0,4.0,7.0,4.0,6.0,3.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,4.0,6.0,3.0,2.0,2.0,4.0,4.0,5.0,0,3.0,2.0,4.0,4.0,5.0,6.0,1.0,6.0,4.0,4.0,2.0,2.0,3.0,3.0,2.0,1.0,2.0,0
43,1,99999,0,20,0,1,0,0,0,1,3,4,1.0,1,2.0,3.0,4.0,1.0,1.0,3.0,8,2.2,3.0,16.0,4.0,5.0,6.0,3.0,4.0,5.0,4.0,4.0,2.0,6.0,4.0,3.0,4.0,2.0,3.0,6.0,4.0,4.0,3.0,6.0,5.0,4.0,2.0,4.0,1.0,6.0,6.0,5.0,4.0,2.0,3.0,5.0,4.0,2.0,6,4.0,4.0,1.0,4.0,2.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,0
44,1,999999,0,19,1,0,1,0,0,2,3,1,3.0,1,3.0,2.0,2.0,0.0,2.0,1.0,17,1.4,3.0,4.0,4.0,4.0,2.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,5.0,5.0,3.0,2.0,6.0,4.0,4.0,3.0,6.0,3.0,5.0,5.0,5.0,4.0,3.0,3.0,5.0,3.0,3.0,3.0,3.0,1.0,0,1.0,0.0,3.0,2.0,2.0,3.0,1.0,5.0,2.0,5.0,2.0,5.0,4.0,3.0,4.0,2.0,3.0,0
45,1,aaaa,0,18,1,1,0,0,0,2,3,2,1.0,1,1.0,4.0,4.0,4.0,5.0,5.0,8,8.6,3.0,4.0,4.0,1.0,2.0,3.0,3.0,3.0,1.0,4.0,1.0,6.0,2.0,3.0,3.0,6.0,4.0,6.0,4.0,3.0,4.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,3.0,2.0,3.0,6.0,3.0,1.0,7,5.0,5.0,4.0,5.0,6.0,3.0,4.0,5.0,3.0,5.0,3.0,5.0,4.0,3.0,3.0,3.0,2.0,0
46,1,aaaaa,0,18,1,0,1,1,0,2,3,4,2.0,1,1.0,1.0,1.0,3.0,4.0,4.0,1,2.2,1.0,7.0,1.0,2.0,3.0,3.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,7.0,4.0,3.0,3.0,6.0,5.0,4.0,4.0,3.0,4.0,3.0,5.0,3.0,2.0,4.0,5.0,7.0,4.0,4.0,4.0,1.0,1,1.0,1.0,7.0,2.0,5.0,6.0,4.0,5.0,4.0,3.0,4.0,4.0,5.0,5.0,2.0,3.0,3.0,0
47,1,aaaaaa,0,20,1,1,0,1,0,2,3,2,1.0,1,1.0,4.0,4.0,0.0,3.0,2.0,8,4.1,4.0,7.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1,1.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,0
